Datum,Zeit,Team,KW,Heim,Gast,Logo Heim,Logo Gast,home_link,guest_link,Spiel,Spielort,Spielort_URL
14.03.26, 16:00,A,11,SGM ABI,SG Bad Wimpfen,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNA1O00008UVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB3G000007VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sc-abstatt-wuerttemberg/-/saison/2526/team-id/011MIB1QNG000000VTVG0001VTR8C1K7,https://www.fussball.de/mannschaft/sg-bad-wimpfen-sg-bad-wimpfen-wuerttemberg/-/saison/2526/team-id/02ESLNG9RG000000VS5489B1VT0RKM5V,https://www.fussball.de/spiel/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sg-bad-wimpfen/-/spiel/02VHNKC9Q8000000VS5489BTVVTMOPA6,"Kirschenwiesen, Abstatt",https://www.google.de/maps?q=Kirschenwiesen%2C+74232+Abstatt
28.03.26, 16:00,A,13,SGM ABI,SGM Obergriesheim Krumme Ebene am Neckar,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNA1O00008UVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO0000BVVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sc-abstatt-wuerttemberg/-/saison/2526/team-id/011MIB1QNG000000VTVG0001VTR8C1K7,https://www.fussball.de/mannschaft/sgm-obergriesheim-krumme-ebene-am-neckar-msg-eintracht-obergriesheim-wuerttemberg/-/saison/2526/team-id/02TO1SNTDC000000VS5489BRVSS9M1SM,https://www.fussball.de/spiel/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sgm-obergriesheim-krumme-ebene-am-neckar/-/spiel/02VHNKCA1C000000VS5489BTVVTMOPA6,,
11.04.26, 16:15,A,15,SGM TSV Kupferzell/​Gaisbach/​Ingelfingen,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO000052VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNA1O00008UVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-tsv-kupferzell-gaisbach-ingelfingen-tsv-kupferzell-wuerttemberg/-/saison/2526/team-id/01DNA3NL0G000000VV0AG80NVSQ3PCMQ,https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sc-abstatt-wuerttemberg/-/saison/2526/team-id/011MIB1QNG000000VTVG0001VTR8C1K7,https://www.fussball.de/spiel/sgm-tsv-kupferzell-gaisbach-ingelfingen-sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi/-/spiel/0303SA5P88000000VS5489BUVSCBIL5C,,
18.04.26, 16:00,A,16,SGM Höchstberg H-U-T-H I,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO000011VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNA1O00008UVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-hoechstberg-h-u-t-h-i-tsv-hoechstberg-wuerttemberg/-/saison/2526/team-id/02TQ9FT3UK000000VS5489BSVTNMVP4D,https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sc-abstatt-wuerttemberg/-/saison/2526/team-id/011MIB1QNG000000VTVG0001VTR8C1K7,https://www.fussball.de/spiel/sgm-hoechstberg-h-u-t-h-i-sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi/-/spiel/02VHNKCA3K000000VS5489BTVVTMOPA6,,
25.04.26, 16:00,A,17,SGM ABI,SGM Dürrenzimmern Unteres Zabergäu,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNA1O00008UVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAUG000039VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sc-abstatt-wuerttemberg/-/saison/2526/team-id/011MIB1QNG000000VTVG0001VTR8C1K7,https://www.fussball.de/mannschaft/sgm-duerrenzimmern-unteres-zabergaeu-tgv-duerrenzimmern-wuerttemberg/-/saison/2526/team-id/02Q0UPP0VC000000VS5489B1VTF0A3SN,https://www.fussball.de/spiel/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sgm-duerrenzimmern-unteres-zabergaeu/-/spiel/02VHNKCA98000000VS5489BTVVTMOPA6,,
02.05.26, 16:00,A,18,SGM Neuenstadt Kochertal,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO0000AFVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNA1O00008UVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-neuenstadt-kochertal-tsv-neuenstadt-wuerttemberg/-/saison/2526/team-id/0206V3MFMG000000VS548985VSL7HPD7,https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sc-abstatt-wuerttemberg/-/saison/2526/team-id/011MIB1QNG000000VTVG0001VTR8C1K7,https://www.fussball.de/spiel/sgm-neuenstadt-kochertal-sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi/-/spiel/02VHNKCAAS000000VS5489BTVVTMOPA6,,
09.05.26, 16:00,A,19,SV Leingarten,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00005UVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNA1O00008UVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sv-leingarten-sv-leingarten-wuerttemberg/-/saison/2526/team-id/02TF5J7TGS000000VS5489BSVTA87VEB,https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sc-abstatt-wuerttemberg/-/saison/2526/team-id/011MIB1QNG000000VTVG0001VTR8C1K7,https://www.fussball.de/spiel/sv-leingarten-sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi/-/spiel/02VHNKCAIO000000VS5489BTVVTMOPA6,,
16.05.26, 16:00,A,20,SGM ABI,SGM Kirchhausen,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNA1O00008UVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO000041VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sc-abstatt-wuerttemberg/-/saison/2526/team-id/011MIB1QNG000000VTVG0001VTR8C1K7,https://www.fussball.de/mannschaft/sgm-kirchhausen-fc-kirchhausen-wuerttemberg/-/saison/2526/team-id/02Q09JD1VC000000VS5489B2VTB2M2VN,https://www.fussball.de/spiel/sgm-sc-abstatt-beilstein-ilsfeld-heinriet-abi-sgm-kirchhausen/-/spiel/02VHNKCAMC000000VS5489BTVVTMOPA6,,
15.03.26, 11:00,B,11,SGM Hausen Unteres Zabergäu I,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAUG0000BAVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-hausen-unteres-zabergaeu-i-tv-hausen-zaber-wuerttemberg/-/saison/2526/team-id/02Q0VE8IQG000000VS5489B1VTF0A3SN,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/spiel/sgm-hausen-unteres-zabergaeu-i-sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi/-/spiel/02VKJCLQ54000000VS5489BTVUS4P6QU,"Breibachweg, Nordheim",https://www.google.de/maps?q=Breibachweg%2C+74226+Nordheim
18.03.26, 19:00,B,12,SGM ABI,TSG Heilbronn,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB4O0000A2VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/mannschaft/tsg-heilbronn-tsg-heilbronn-wuerttemberg/-/saison/2526/team-id/02EI9V5F5K000000VS5489B2VS183IS6,https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tsg-heilbronn/-/spiel/02V9QSQHIG000000VS5489BTVTAM0PAN,,
22.03.26, 10:30,B,12,SGM ABI,SGM Oedheim Kochertal I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB10000004VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/mannschaft/sgm-oedheim-kochertal-i-spvgg-oedheim-wuerttemberg/-/saison/2526/team-id/027I2JJF6O000000VS5489B2VVDR0U48,https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-sgm-oedheim-kochertal-i/-/spiel/02VKJCLQBG000000VS5489BTVUS4P6QU,,
29.03.26, 10:30,B,13,SV Schluchtern U17,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB1000006IVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAT8000025VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sv-schluchtern-u17-sv-schluchtern-wuerttemberg/-/saison/2526/team-id/01L692FRUG000000VV0AG80NVTB5JGKG,https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi-tgv-eintracht-beilstein-wuerttemberg/-/saison/2526/team-id/01OQR89UAC000000VV0AG80NVU94JLT0,https://www.fussball.de/spiel/sv-schluchtern-u17-sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-heinriet-abi/-/spiel/02VKJCLQH0000000VS5489BTVUS4P6QU,,
