Datum;Zeit;Team;Heim;Gast;KW;Logo Heim;Logo Gast;home_link;guest_link;Spiel
29.04.23;16:15;A;SGM TSV Brettach KoBra;SGM SC Abstatt/​Beilstein/​Ilsfeld ABI;18;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAUG00000HVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNA1O00008UVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-tsv-brettach-kobra-tsv-brettach-wuerttemberg/-/saison/2223/team-id/02ES02HOKG000000VS5489B2VVP292BR;https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-abi-sc-abstatt-wuerttemberg/-/saison/2223/team-id/011MIB1QNG000000VTVG0001VTR8C1K7;https://www.fussball.de/spiel/sgm-tsv-brettach-kobra-sgm-sc-abstatt-beilstein-ilsfeld-abi/-/spiel/02KCN5VF8G000000VS5489B4VU1O1RVG
06.05.23;16:15;A;SGM SC Abstatt/​Beilstein/​Ilsfeld ABI;SGM Neuenstadt Kochertal;19;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNA1O00008UVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO0000AFVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-abi-sc-abstatt-wuerttemberg/-/saison/2223/team-id/011MIB1QNG000000VTVG0001VTR8C1K7;https://www.fussball.de/mannschaft/sgm-neuenstadt-kochertal-i-tsv-neuenstadt-wuerttemberg/-/saison/2223/team-id/0206V3MFMG000000VS548985VSL7HPD7;https://www.fussball.de/spiel/sgm-sc-abstatt-beilstein-ilsfeld-abi-sgm-neuenstadt-kochertal-i/-/spiel/02KCN5VFC0000000VS5489B4VU1O1RVG
09.05.23;19:30;A;SGM SC Abstatt/​Beilstein/​Ilsfeld ABI;TSV Talheim;20;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNA1O00008UVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNB100000AUVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-abi-sc-abstatt-wuerttemberg/-/saison/2223/team-id/011MIB1QNG000000VTVG0001VTR8C1K7;https://www.fussball.de/mannschaft/tsv-talheim-tsv-talheim-wuerttemberg/-/saison/2223/team-id/02INT0ALQC000000VS5489B2VVQ9C6A6;https://www.fussball.de/spiel/sgm-sc-abstatt-beilstein-ilsfeld-abi-tsv-talheim/-/spiel/02KCN5VF7S000000VS5489B4VU1O1RVG
13.05.23;16:15;A;SGM SC Abstatt/​Beilstein/​Ilsfeld ABI;Aramäer Heilbronn;20;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNA1O00008UVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00K479PRAS000000VTVG0001VTILPTLE;https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-abi-sc-abstatt-wuerttemberg/-/saison/2223/team-id/011MIB1QNG000000VTVG0001VTR8C1K7;https://www.fussball.de/mannschaft/aramaeer-heilbronn-aramaeer-heilbronn-wuerttemberg/-/saison/2223/team-id/02GI1TG5BS000000VS5489B2VSQM9PFD;https://www.fussball.de/spiel/sgm-sc-abstatt-beilstein-ilsfeld-abi-aramaeer-heilbronn/-/spiel/02KCN5VFG8000000VS5489B4VU1O1RVG
20.05.23;16:15;A;Türkspor Neckarsulm;SGM SC Abstatt/​Beilstein/​Ilsfeld ABI;21;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNB4O00008PVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNA1O00008UVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/tuerkspor-neckarsulm-tuerkspor-neckarsulm-wuerttemberg/-/saison/2223/team-id/0201GOCSUS000000VS548985VU1T928D;https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-abi-sc-abstatt-wuerttemberg/-/saison/2223/team-id/011MIB1QNG000000VTVG0001VTR8C1K7;https://www.fussball.de/spiel/tuerkspor-neckarsulm-sgm-sc-abstatt-beilstein-ilsfeld-abi/-/spiel/02KCN5VFEG000000VS5489B4VU1O1RVG
14.06.23;19:00;A;TSV Talheim;SGM SC Abstatt/​Beilstein/​Ilsfeld ABI;25;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNB100000AUVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNA1O00008UVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/tsv-talheim-tsv-talheim-wuerttemberg/-/saison/2223/team-id/02INT0ALQC000000VS5489B2VVQ9C6A6;https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-abi-sc-abstatt-wuerttemberg/-/saison/2223/team-id/011MIB1QNG000000VTVG0001VTR8C1K7;https://www.fussball.de/spiel/tsv-talheim-sgm-sc-abstatt-beilstein-ilsfeld-abi/-/spiel/02KCN5VFJ8000000VS5489B4VU1O1RVG
17.06.23;16:15;A;SGM SC Abstatt/​Beilstein/​Ilsfeld ABI;SGM TSV Brettach KoBra;25;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNA1O00008UVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAUG00000HVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-sc-abstatt-beilstein-ilsfeld-abi-sc-abstatt-wuerttemberg/-/saison/2223/team-id/011MIB1QNG000000VTVG0001VTR8C1K7;https://www.fussball.de/mannschaft/sgm-tsv-brettach-kobra-tsv-brettach-wuerttemberg/-/saison/2223/team-id/02ES02HOKG000000VS5489B2VVP292BR;https://www.fussball.de/spiel/sgm-sc-abstatt-beilstein-ilsfeld-abi-sgm-tsv-brettach-kobra/-/spiel/02KCN5VFK0000000VS5489B4VU1O1RVG
23.04.23;10:30;B1;Sport-Union Neckarsulm II;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;17;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00009TVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAT8000025VV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sport-union-neckarsulm-ii-neckarsulmer-sport-union-wuerttemberg/-/saison/2223/team-id/01KT70V4FC000000VV0AG80NVVRC6LS5;https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/01OQR89UAC000000VV0AG80NVU94JLT0;https://www.fussball.de/spiel/sport-union-neckarsulm-ii-sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i/-/spiel/02KD6OM43O000000VS5489B3VSG7Q4FB
30.04.23;10:30;B1;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;VfR Heilbronn 96/​18 II;18;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAT8000025VV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/023QDJNIQK000000VS54898GVUU5JGVL;https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/01OQR89UAC000000VV0AG80NVU94JLT0;https://www.fussball.de/mannschaft/vfr-heilbronn-96-18-ii-vfr-heilbronn-96-18-wuerttemberg/-/saison/2223/team-id/02IGCLELL8000000VS5489B1VUG7QVAU;https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-vfr-heilbronn-96-18-ii/-/spiel/02KD6OM44O000000VS5489B3VSG7Q4FB
07.05.23;10:30;B1;SGM Dürrenzimmern Unteres Zabergäu;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;19;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAUG000039VV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAT8000025VV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-duerrenzimmern-unteres-zabergaeu-tgv-duerrenzimmern-wuerttemberg/-/saison/2223/team-id/02BDA2BPSK000000VS5489B1VTPVH7C1;https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/01OQR89UAC000000VV0AG80NVU94JLT0;https://www.fussball.de/spiel/sgm-duerrenzimmern-unteres-zabergaeu-sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i/-/spiel/02KD6OM474000000VS5489B3VSG7Q4FB
14.05.23;10:30;B1;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;SGM TSV Hardthausen KoBra;20;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAT8000025VV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAUG0000AOVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/01OQR89UAC000000VV0AG80NVU94JLT0;https://www.fussball.de/mannschaft/sgm-tsv-hardthausen-kobra-tsv-hardthausen-wuerttemberg/-/saison/2223/team-id/02IOF9J7LO000000VS5489B1VSO9MMK0;https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-sgm-tsv-hardthausen-kobra/-/spiel/02KD6OM4AS000000VS5489B3VSG7Q4FB
21.05.23;10:30;B1;TV Flein;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;21;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAUG00006JVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAT8000025VV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/tv-flein-tv-flein-wuerttemberg/-/saison/2223/team-id/011MIAEMSK000000VTVG0001VTR8C1K7;https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/01OQR89UAC000000VV0AG80NVU94JLT0;https://www.fussball.de/spiel/tv-flein-sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i/-/spiel/02KD6OM48K000000VS5489B3VSG7Q4FB
14.06.23;19:00;B1;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI I;Sport-Union Neckarsulm II;25;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAT8000025VV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00009TVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/01OQR89UAC000000VV0AG80NVU94JLT0;https://www.fussball.de/mannschaft/sport-union-neckarsulm-ii-neckarsulmer-sport-union-wuerttemberg/-/saison/2223/team-id/01KT70V4FC000000VV0AG80NVVRC6LS5;https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-i-sport-union-neckarsulm-ii/-/spiel/02KD6OM4DK000000VS5489B3VSG7Q4FB
